parameter,sigma_planning,margin_of_error,confidence,z_critical,raw_n,minimum_integer_n,p_planning,planning_basis
mean,248.3379041554565,10.0,0.9,1.6448536269514722,1668.5550384797073,1669,,
mean,248.3379041554565,10.0,0.95,1.959963984540054,2369.093521924063,2370,,
proportion,,0.05,0.9,1.6448536269514722,270.55409088059304,271,0.49951503394762364,observed proportion
proportion,,0.05,0.95,1.959963984540054,384.1455206771487,385,0.49951503394762364,observed proportion
proportion,,0.05,0.9,1.6448536269514722,270.5543454095413,271,0.5,conservative p=0.50
proportion,,0.05,0.95,1.959963984540054,384.14588206941244,385,0.5,conservative p=0.50
