model,accuracy,precision_macro,recall_macro,f1_macro,precision_jailbreak,recall_jailbreak,f1_jailbreak
logistic_regression,0.9770992366412213,0.9766112569262175,0.9779493478388022,0.9770510948905109,0.9925925925925926,0.9640287769784173,0.9781021897810219
naive_bayes,0.9618320610687023,0.9614014598540146,0.9621571035854244,0.9617227676484339,0.9708029197080292,0.9568345323741008,0.9637681159420289
random_forest,0.9770992366412213,0.9767441860465116,0.9784172661870504,0.9770658263305322,1.0,0.9568345323741008,0.9779411764705882
