model,metric,cv_folds,mean,std,min,max
logistic_regression,accuracy,5,0.955377327517471,0.019851631264492412,0.9320388349514563,0.9854368932038835
logistic_regression,precision,5,0.958218857294218,0.01788235653781738,0.9379837553750597,0.9858490566037736
logistic_regression,recall,5,0.955349141150112,0.019841123434368387,0.9320388349514563,0.9854368932038835
logistic_regression,f1,5,0.9552864921764141,0.01993008393520393,0.9318074340300766,0.9854338039456008
naive_bayes,accuracy,5,0.944725857136157,0.012577399298603546,0.9320388349514563,0.9611650485436893
naive_bayes,precision,5,0.9455825632902325,0.011791772265650462,0.9320388349514563,0.9613389910419613
naive_bayes,recall,5,0.944772218073189,0.012520755434980189,0.9320388349514563,0.9611650485436893
naive_bayes,f1,5,0.9446983395521196,0.012607100980606785,0.9320388349514563,0.9611613876319759
random_forest,accuracy,5,0.9534215093100699,0.01963211001694508,0.9320388349514563,0.9758454106280193
random_forest,precision,5,0.9566234296501321,0.017333437660552474,0.9379837553750597,0.9770642201834863
random_forest,recall,5,0.9533980582524272,0.01959866916328771,0.9320388349514563,0.9757281553398058
random_forest,f1,5,0.9533148406506362,0.01973715547694767,0.9318074340300766,0.9758250998528484
